"Short desc","Keywords","Level","Vnum","Room","Location","Flags","Weight","Value","Material","Worn","Item type","AC/SLevel","Capacity","Spells","Affects","hit roll","damage roll","hp","armor class","strength","dexterity","intelligence","wisdom","constitution","sex","class","level","age","(unknown)","(unknown)","endurance","hp","gold","experience","armor class","hit roll","damage roll","saves","none","air sphere","earth sphere","fire sphere","spirit sphere","water sphere","Bit affects",","Other"
"a {yg{Yo{Wld{Ye{yn {rs{Ye{rrp{Ye{rnt{x ring","ring metal serpent",1,3742,3762,"on an {BA{be{Bs S{be{Bd{bai{x","-------------------",1,50,"gold","(take finger)","armor","1/0/0/0",0,"","+1wis",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"iron {Dg{rau{Rntl{ret{Ds{x","iron gauntlets",1,3728,3764,"on a {rQ{Ru{Wee{Rn{x'{rs G{Ru{Wa{Rr{rd{x","-------------------",3,50,"steel","(take hands)","armor","1/0/0/0",0,"","+1dex",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {CS{Wh{Di{We{Cn{Wa{Dr{wa{Cn{x topknot","topknot top knot scalp",1,3729,3767,"on a {CS{Wh{Di{We{Cn{Wa{Dr{Wa{Cn{x warrior","-------------------",1,25,"flesh","(take head)","armor","1/0/0/0",0,"","+1int",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"the {rR{Ri{rs{Ri{rng {YS{Wu{Yn{x","rising sun rays",1,3731,3769,"on a {bC{Bai{Yr{Whi{Ye{Bna{bn{x noble woman","-------------------",1,5,"sunshine","(take)","light",0,500,"(limited)","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"{gtr{yee {gl{yi{gmbs{x","tree limbs",1,3727,3773,"on a {gT{yr{gea{yn{gt{x","-------------------",3,50,"organic","(take arms)","armor","0/1/0/0",0,"","+1str",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a Maiden's {ce{Cnd{Wura{Cnc{ce{x","sense exhaustion endurance",1,3745,3774,"on a {yF{Da{yr D{Da{yr{Dei{ys M{Dai{x","-------------------",1,50,"cloth","(take legs)","armor","0/0/0/1",0,"","+10end",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {yb{roo{yk{x of short stories","book",1,3744,3776,"on an {gOg{Gie{gr y{Gou{gth{x","-------------------",1,20,"paper","(take hold)","armor","0/0/1/0",0,"","+1dam,+1dam",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",,""
"a rectangular {Ds{wh{Wie{wl{Dd{x","shield metal",1,3739,3778,"on a {rW{Ri{rnged {DG{wu{Wa{wr{Dd{x","-------------------",3,50,"iron","(take shield)","armor","0/1/0/0",0,"","+10hp,+10hp",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a wide-{yg{Yo{Wld{Ye{yn{x bracelet","gold golden bracelet",1,3733,3782,"on a graceful {GD{Do{Wma{Dn{Gi{x woman","-------------------",1,5,"gold","(take wrist)","armor","0/0/0/1",0,"","-2arm,-2arm",0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,"",,""
"a translucent {cv{Cei{cl{x","veil cloth",1,3732,3783,"on a {cv{Ce{Wil{Ce{cd{x woman","-------------------",1,5,"ribbon","(take face)","armor","0/0/1/0",0,"","+1con",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {rn{Re{Wwb{Ri{re{x tunic","newbie tunic",1,3703,3792,"on A fully equipped newbie mobile","-------------------",3,10,"leather","(take torso)","armor","1/0/0/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {rn{Re{Wwb{Ri{re{x sash","newbie sash",1,3712,3792,"on A fully equipped newbie mobile","-------------------",2,10,"leather","(take waist)","armor","0/0/1/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {rn{Re{Wwb{Ri{re{x shield","newbie shield",1,3704,3792,"on A fully equipped newbie mobile","-------------------",7,10,"wood","(take shield)","armor","0/1/0/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {rn{Re{Wwb{Ri{re{x scarf","newbie scarf",1,3705,3792,"on A fully equipped newbie mobile","-------------------",4,10,"cloth","(take neck)","armor","0/0/1/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"{rn{Re{Wwb{Ri{re{x sleeves","newbie sleeves",1,3710,3792,"on A fully equipped newbie mobile","-------------------",2,10,"leather","(take arms)","armor","1/0/0/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"{rn{Re{Wwb{Ri{re{x gloves","newbie gloves",1,3709,3792,"on A fully equipped newbie mobile","-------------------",1,10,"leather","(take hands)","armor","0/1/0/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"{rn{Re{Wwb{Ri{re{x shoes","newbie shoes",1,3708,3792,"on A fully equipped newbie mobile","-------------------",3,10,"leather","(take feet)","armor","0/0/1/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {rn{Re{Wwb{Ri{re{x cloak","newbie cloak",1,3711,3792,"on A fully equipped newbie mobile","-------------------",4,10,"cloth","(take body)","armor","0/0/1/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {rN{Re{Wwb{Ri{re{x canteen","newbie canteen",1,3746,3792,"on A fully equipped newbie mobile","-------------------",10,10,"leather","(take hold)","drink container",0,100,"water","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {rn{Re{Wwb{Ri{re{x bracer","newbie bracer",1,3713,3792,"on A fully equipped newbie mobile","-------------------",2,10,"bronze","(take wrist)","armor","0/0/1/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a comfortable looking cot","cots",1,5800,5800,"in room: The Wisdom's Room","-------------------",0,0,"down","(none)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a mug of {Dd{war{Dk {ya{Dl{ye{x","mug of ale",0,5840,5801,"on Bartim","-----------------#-",0,75,"alcohol","(take)","drink container",0,10,"ale","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a glass of {Wbu{wbb{Wl{win{Wg cha{wmp{Wagn{we{x","glass champagne",0,5842,5801,"on Bartim","-----------------#-",0,85,"alcohol","(take)","drink container",0,5,"champagne","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a glass of {Wwh{xit{We wi{wne{x","white wine",0,5843,5801,"on Bartim","-----------------#-",0,80,"cloth","(take)","drink container",0,6,"white wine","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a stein of {yme{Ya{yd{x.","stein of mead",0,5844,5801,"on Bartim","-----------------#-",0,75,"alcohol","(take)","drink container",0,10,"mead","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Wd{wain{Wty c{wu{Wp{x of {Yt{ye{Ya{x","cup of tea",0,5845,5801,"on Bartim","-----------------#-",0,30,"drink","(take)","drink container",0,5,"tea","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a heaping plate of {yst{Yea{yk{x and {Gv{geggies{x","plate of food",0,5847,5801,"on Bartim","-----------------#-",1,150,"food","(take)","food",7,10,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a nice {Ytu{Wna sa{Yndw{Whic{Yh{x","tuna sandwhich",0,5848,5801,"on Bartim","-----------------#-",0,75,"fish","(take)","food",9,9,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Yst{yurdy wo{Yod{yen ta{Yble{x and chair.","table and chair",1,5861,5801,"in room: Common Room of the {RW{ray{Dfa{Rrer{r's {RR{re{Dst{x","-------------------",10000,100000,"wood","(none)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {x{ywo{Yod{yen{x {Wfea{wt{Wher du{wst{Wer{x","featherduster",25,5892,5807,"on a young {x{Rm{Dai{Rd{x","-------------------",1,75,"wood","(take hold)","armor","7/6/6/6",0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a little {Dblack backpack{x","backpack",0,5816,5816,"on Charlie","---------------B-#-",1,100,"leather","(take body)","container",0,"90lbs, 150 max (5% bulk),"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a beautiful {Bw{bo{Bv{be{Bn {br{Bu{bg{x","a rug",0,5825,5816,"on Charlie","-----------------#-",1,150,"wool","(take)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Bb{bl{Bu{be{W-{xs{Wi{xl{Wv{xe{Wr{x decanter","decanter",0,5832,5816,"on Charlie","-----------------#-",0,75,"metal","(take hold)","drink container",0,400,"water","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Bb{bl{Bu{be{x-{Ws{wi{Wl{wv{We{wr {Bl{ba{Wn{wt{Be{br{Wn{x","blue lantern",0,5863,5816,"on Charlie","-----------------#-",1,200,"flame","(take)","light",0,998,"(limited)","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"The {BM{bighty {DC{wod{Dpi{we{Dce{x of {BP{Do{Bw{De{Br{x","codpiece",10,5802,5818,"on A little old man","----gh-----------#-",2,200,"metal","(take waist)","armor","5/5/5/5",-1209190544,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"The {BB{Dra{Bssi{Der{Be{x of {BMi{Dgh{Bt{x","brassiere",10,5803,5818,"on A little old man","----gh-----------#-",2,200,"metal","(take torso)","armor","5/5/5/5",-1209190408,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"{yDoeskin Boots{x","boots",10,5804,5818,"on A little old man","----gh-----------#-",1,200,"leather","(take feet)","armor","5/5/6/4",-1209190320,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"A pair of {yRa{wbb{yit S{yki{wn{x gloves","gloves",10,5805,5818,"on A little old man","-----------------#-",1,150,"rabbit","(take hands)","armor","5/5/5/5",-1209190232,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"A {yB{Yr{yo{Yn{yz{Ye {yB{Yr{ya{Yc{ye{Yr{x","guard wrist bracer",10,5807,5818,"on A little old man","----gh-----------#-",1,200,"metal","(take wrist)","armor","5/5/5/5",-1209190008,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {BN{bavy{x-{BB{blue {BS{bhield{x","shield",10,5817,5818,"on A little old man","----gh-----------#-",2,200,"steel","(take shield)","armor","5/5/5/5",-1209188936,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
